date;Baden-Wuerttemberg;Bayern;Berlin;Brandenburg;Bremen;Hamburg;Hessen;Mecklenburg-Vorpommern;Niedersachsen;Nordrhein-Westfalen;Rheinland-Pfalz;Saarland;Sachsen;Sachsen-Anhalt;Schleswig-Holstein;Thueringen;1=yes;0=no
13.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
14.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
15.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
16.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
17.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
18.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
19.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
20.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
21.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
22.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
23.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
24.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
25.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
26.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
27.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
28.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
29.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
30.11.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
01.12.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;;
